Applicant_ID,Gender,Age,Marital_Status,Dependents,Education,Employment_Status,Occupation_Type,City/Town,Annual_Income,Monthly_Expenses,Credit_Score,Existing_Loans,Total_Existing_Loan_Amount,Outstanding_Debt,Loan_History,Loan_Amount_Requested,Loan_Term,Loan_Purpose,Interest_Rate,Co-Applicant,Transaction_Frequency,Default_Risk,Loan_Approval_Status
853,Female,28,Married,3,Graduate,Unemployed,Salaried,Urban,101164,4612,744,0,45493,21610,1,29760,56,Personal,11.41,Yes,23,0.32,1
857,Male,48,Single,2,High School,Employed,Business,Urban,122044,3337,767,2,14512,26588,0,33658,127,Personal,9.9,No,19,0.33,0
859,Male,31,Single,0,Graduate,Unemployed,Business,Urban,143846,2707,819,1,21108,992,0,22316,164,Personal,8.92,Yes,9,0.67,1
860,Male,27,Married,3,Graduate,Employed,Salaried,Suburban,97112,2035,779,0,46016,24807,0,26326,51,Education,3.87,No,16,0.0,1
861,Female,22,Married,1,High School,Employed,Professional,Urban,32622,2518,498,0,32095,7391,0,6070,208,Education,4.9,Yes,9,0.64,0
862,Male,29,Married,1,Postgraduate,Employed,Business,Suburban,62468,1001,800,2,25557,5673,0,20000,236,Education,3.96,Yes,24,0.36,1
863,Female,32,Married,0,High School,Employed,Freelancer,Rural,88655,3255,823,0,25315,26968,0,22050,191,Education,4.81,No,28,0.02,1
865,Male,27,Single,3,Postgraduate,Unemployed,Freelancer,Suburban,88031,4709,759,2,6116,26073,0,24632,191,Personal,8.81,Yes,18,0.03,0
866,Female,47,Single,0,Graduate,Self-Employed,Freelancer,Urban,64597,963,829,2,3579,5919,0,20000,178,Personal,10.83,Yes,18,0.76,0
870,Female,32,Single,2,Graduate,Unemployed,Business,Suburban,36866,3225,446,2,9806,8867,0,12723,182,Personal,8.64,Yes,27,0.22,0
871,Female,38,Single,0,Postgraduate,Unemployed,Business,Urban,95367,4301,824,0,21350,450,0,21574,168,Education,9.44,Yes,18,0.9,1
872,Female,37,Married,1,High School,Employed,Professional,Urban,54488,3082,827,1,15336,12142,1,20000,130,Personal,9.18,No,19,0.95,0
876,Female,31,Single,1,High School,Employed,Salaried,Rural,110250,2170,825,0,8423,29566,0,22016,32,Education,10.64,Yes,10,0.98,1
877,Female,27,Married,0,Graduate,Unemployed,Salaried,Suburban,39802,1774,557,2,12474,21860,1,9513,18,Personal,7.92,Yes,16,0.63,0
881,Male,34,Married,2,High School,Self-Employed,Professional,Urban,120248,1961,844,2,10842,3524,0,27982,171,Personal,7.48,Yes,19,0.1,1
885,Male,30,Married,1,Postgraduate,Employed,Salaried,Urban,40021,1332,535,1,18033,27273,0,11503,78,Personal,4.19,No,9,0.99,0
886,Female,29,Single,0,Graduate,Employed,Professional,Urban,127382,2435,705,0,32578,19183,0,32153,235,Personal,4.29,Yes,8,0.91,0
890,Male,38,Married,3,High School,Self-Employed,Freelancer,Suburban,106458,2175,732,2,18282,11967,1,21813,27,Education,4.2,Yes,19,0.86,1
892,Male,42,Single,0,Postgraduate,Self-Employed,Salaried,Suburban,64049,4001,407,2,12093,1075,0,17319,117,Personal,7.23,Yes,15,0.96,1
899,Female,32,Married,2,High School,Employed,Freelancer,Urban,73442,631,763,1,43225,20907,0,22028,202,Personal,13.76,No,8,0.15,1
900,Male,41,Married,2,Graduate,Self-Employed,Salaried,Urban,102751,1073,764,1,30628,27026,1,28471,71,Personal,12.23,No,21,0.56,1
902,Male,38,Divorced,1,Graduate,Self-Employed,Salaried,Urban,112784,3037,757,2,16146,4226,0,30306,223,Education,9.24,No,22,0.73,0
907,Male,65,Married,1,Graduate,Employed,Freelancer,Urban,44908,2681,563,1,28606,11947,0,14758,208,Personal,14.54,Yes,15,0.94,0
909,Male,33,Single,3,High School,Employed,Freelancer,Suburban,105848,2582,705,1,37346,9311,0,31725,87,Personal,12.96,Yes,5,0.01,0
910,Female,34,Married,2,Postgraduate,Employed,Salaried,Rural,116104,3539,754,1,34344,28942,0,23623,105,Education,11.56,Yes,7,0.7,1
916,Male,43,Married,2,Graduate,Unemployed,Professional,Urban,66371,1638,822,1,23290,19554,0,20000,130,Education,12.09,No,10,0.23,1
922,Female,28,Single,0,High School,Self-Employed,Business,Urban,75973,3220,827,2,22594,1452,0,20958,94,Personal,9.6,No,10,0.16,1
924,Female,47,Single,1,Postgraduate,Self-Employed,Business,Urban,69462,2324,347,1,26103,22622,0,25653,206,Personal,11.0,No,15,0.93,0
925,Male,47,Married,0,High School,Employed,Professional,Urban,102728,1300,727,0,48981,28983,0,30606,170,Education,11.73,Yes,9,0.57,1
927,Male,34,Single,1,Graduate,Self-Employed,Salaried,Suburban,122652,3693,801,2,13469,20406,0,23599,229,Personal,7.27,Yes,26,0.54,1
929,Male,25,Married,1,High School,Self-Employed,Professional,Urban,103137,1907,714,0,13387,18366,0,29729,93,Education,5.48,No,7,0.89,1
934,Male,33,Married,0,High School,Unemployed,Business,Suburban,67146,1474,765,2,45133,23892,0,20119,164,Personal,10.55,No,29,0.5,1
935,Female,41,Married,2,Postgraduate,Self-Employed,Business,Urban,117707,3900,820,1,20160,731,0,22111,77,Education,13.49,No,8,0.43,1
936,Female,43,Married,0,Graduate,Employed,Salaried,Urban,74973,594,812,0,43403,21066,1,20533,87,Education,8.87,No,7,0.89,1
941,Male,34,Married,0,Postgraduate,Employed,Freelancer,Urban,109070,951,785,2,49007,17274,1,24274,43,Education,6.89,Yes,12,0.68,1
942,Male,27,Single,1,Graduate,Employed,Freelancer,Urban,120733,3148,811,1,29378,2796,0,29062,92,Personal,11.96,No,26,0.8,0
948,Female,58,Divorced,1,High School,Employed,Professional,Urban,62262,1912,542,0,45978,22554,0,19664,80,Personal,14.49,Yes,18,0.69,0
950,Male,37,Divorced,1,Postgraduate,Employed,Salaried,Rural,70590,3684,819,1,18227,6850,0,21090,84,Education,5.99,No,23,0.85,1
951,Male,33,Single,3,Graduate,Employed,Business,Urban,80904,2524,787,2,49699,15521,0,22539,232,Education,13.22,No,18,0.33,1
952,Male,45,Married,1,High School,Employed,Freelancer,Suburban,64733,1444,731,2,21377,13068,1,20000,54,Education,13.25,No,22,0.87,1
953,Female,36,Single,0,High School,Self-Employed,Freelancer,Suburban,99113,3230,752,0,25687,24942,1,28429,152,Education,8.2,Yes,5,0.97,1
954,Female,24,Married,3,Graduate,Unemployed,Salaried,Urban,49471,1370,527,2,42288,21062,0,16478,43,Education,4.66,No,19,0.98,0
958,Female,36,Divorced,2,Graduate,Employed,Business,Urban,128999,2494,772,1,47852,28181,0,38341,184,Education,4.03,No,18,0.95,0
960,Female,39,Married,3,Graduate,Self-Employed,Salaried,Suburban,24896,2856,340,2,49051,19992,0,8908,205,Education,7.08,Yes,5,0.96,0
961,Male,34,Married,1,High School,Self-Employed,Freelancer,Urban,59699,3622,809,1,14445,11005,0,20000,77,Education,4.45,No,12,0.37,1
966,Female,47,Married,0,High School,Self-Employed,Professional,Urban,56389,3837,743,0,46056,20603,0,20000,196,Personal,10.3,No,9,0.57,1
967,Female,49,Single,0,High School,Self-Employed,Business,Urban,25502,3455,492,0,5104,13864,0,7739,38,Education,12.04,Yes,20,0.46,0
972,Male,58,Married,3,High School,Self-Employed,Professional,Urban,31303,4907,412,2,20969,13690,0,10128,62,Education,9.49,Yes,19,0.86,0
973,Female,26,Single,2,Graduate,Employed,Business,Suburban,60080,2804,450,1,35497,14119,0,8031,103,Education,6.76,No,23,0.5,0
978,Male,36,Single,2,High School,Employed,Freelancer,Suburban,50351,4578,810,1,31019,25686,1,20000,239,Education,9.46,Yes,13,0.1,1
980,Male,39,Married,2,Graduate,Self-Employed,Professional,Suburban,119073,969,832,1,29719,16326,1,35660,28,Education,4.39,No,26,0.92,0
982,Male,47,Married,1,Postgraduate,Employed,Salaried,Urban,20966,3083,519,0,36922,16649,0,8188,219,Education,10.87,Yes,23,0.94,0
985,Male,26,Single,1,Graduate,Employed,Freelancer,Urban,31697,4779,594,0,19993,16197,0,12300,40,Education,4.46,No,20,0.46,0
990,Male,29,Single,1,Graduate,Employed,Freelancer,Urban,30686,1583,347,1,22811,29712,0,6671,40,Personal,5.36,No,11,0.3,1
994,Female,31,Divorced,0,High School,Employed,Professional,Urban,70847,3322,713,1,21704,27857,0,20908,64,Education,10.08,No,26,0.63,1
1001,Male,48,Single,0,Graduate,Unemployed,Salaried,Suburban,80128,3745,790,1,30146,381,0,21758,148,Education,14.02,No,17,0.29,1
1002,Female,28,Married,3,Postgraduate,Employed,Salaried,Suburban,84880,2997,729,2,46972,24846,1,21161,160,Personal,3.59,No,22,0.92,1
1004,Male,45,Married,3,Postgraduate,Employed,Salaried,Urban,34874,3098,330,1,26761,21124,1,6181,72,Education,12.45,Yes,6,0.88,1
1005,Female,64,Divorced,1,Postgraduate,Self-Employed,Business,Urban,44697,4494,421,1,3591,6797,1,5145,220,Education,12.79,Yes,19,0.48,0
1006,Female,26,Married,2,High School,Employed,Professional,Suburban,97444,2578,745,1,40309,27907,0,25768,212,Education,4.73,Yes,28,0.05,1
1007,Male,26,Married,3,Graduate,Unemployed,Freelancer,Urban,58811,2122,726,2,49320,15750,0,20000,177,Education,14.13,Yes,18,0.69,1
1009,Female,37,Single,0,Graduate,Employed,Business,Suburban,106381,3250,761,0,37375,25004,0,27219,190,Personal,10.82,No,19,0.86,1
1011,Male,48,Divorced,3,Postgraduate,Employed,Business,Urban,60749,3207,834,2,8791,8710,0,20000,167,Personal,12.56,Yes,27,0.49,1
1015,Female,65,Married,1,Postgraduate,Self-Employed,Professional,Suburban,30522,3171,420,1,41618,5942,0,10022,58,Personal,10.37,Yes,23,0.21,0
1017,Female,28,Single,3,Graduate,Employed,Freelancer,Urban,86988,1845,839,2,21927,9238,0,25502,197,Personal,11.83,Yes,8,0.01,0
1019,Female,47,Married,3,Graduate,Self-Employed,Professional,Suburban,58522,2624,464,2,44945,11173,1,12717,198,Personal,4.33,No,21,0.6,0
1023,Male,31,Married,0,Graduate,Employed,Professional,Suburban,51124,4051,381,1,15033,16661,1,17555,194,Personal,9.26,Yes,23,0.37,0
1025,Female,65,Single,3,High School,Employed,Professional,Urban,65201,763,498,0,28787,17510,1,24475,188,Education,13.1,No,24,0.25,0
1026,Male,38,Divorced,1,Postgraduate,Self-Employed,Salaried,Rural,133189,638,812,2,9423,28938,0,35377,237,Education,13.88,No,29,0.6,1
1028,Male,46,Married,3,Postgraduate,Employed,Salaried,Urban,42852,2385,537,1,6204,27881,0,7278,100,Personal,12.05,No,27,0.16,0
1030,Male,43,Married,3,Postgraduate,Self-Employed,Business,Urban,32684,535,496,2,44398,29326,0,11711,209,Personal,6.62,Yes,5,0.27,0
1039,Female,32,Married,1,High School,Unemployed,Salaried,Suburban,55085,1767,736,0,16990,13429,1,20000,194,Personal,13.01,No,29,0.57,1
1044,Female,40,Married,1,Postgraduate,Unemployed,Business,Urban,59901,2554,738,1,9051,1074,1,20000,128,Education,3.64,Yes,22,0.95,1
1045,Female,28,Single,3,Postgraduate,Employed,Professional,Urban,69097,2638,372,2,39308,11255,1,21084,146,Education,11.08,No,18,0.26,0
1048,Male,29,Married,1,High School,Employed,Professional,Urban,111754,562,709,0,14614,781,0,23243,179,Education,7.0,Yes,26,0.9,1
1050,Female,32,Single,2,High School,Self-Employed,Professional,Urban,87613,1189,708,2,32688,7828,0,24381,61,Personal,6.06,Yes,15,0.74,1
1052,Female,26,Single,3,Postgraduate,Employed,Freelancer,Urban,100226,1198,849,0,2714,5092,0,25718,189,Personal,11.9,No,10,0.97,1
1053,Male,30,Married,1,Graduate,Employed,Freelancer,Suburban,53715,703,463,1,33882,27998,1,19246,38,Education,6.13,No,7,0.61,1
1055,Male,33,Single,3,Graduate,Employed,Salaried,Urban,66708,4324,494,2,27790,22483,1,17617,36,Education,13.48,No,25,0.37,0
1056,Female,28,Married,3,Graduate,Employed,Freelancer,Urban,102051,3617,705,1,7163,4736,0,23023,63,Education,5.48,No,21,0.04,1
1057,Female,56,Single,2,High School,Employed,Salaried,Suburban,23727,1800,573,1,41679,20675,0,9132,78,Personal,14.11,No,28,0.05,0
1061,Female,51,Single,3,Graduate,Self-Employed,Business,Suburban,24816,1089,556,2,41042,7259,1,8836,50,Education,4.6,No,17,0.58,0
1063,Male,58,Single,2,Graduate,Employed,Business,Urban,33248,1523,539,1,8403,18118,0,8249,121,Personal,7.89,Yes,26,0.79,0
1064,Male,33,Divorced,3,High School,Self-Employed,Business,Urban,92083,4459,813,2,2483,6345,0,20380,223,Personal,4.94,No,18,0.91,1
1067,Male,28,Married,0,High School,Self-Employed,Professional,Urban,82982,1884,703,0,42823,11213,1,20953,52,Personal,7.16,Yes,19,0.68,1
1070,Male,41,Married,2,High School,Employed,Business,Suburban,89831,4793,794,0,11202,7967,0,26158,175,Personal,4.07,Yes,26,0.99,1
1073,Male,27,Married,1,Postgraduate,Employed,Salaried,Urban,110807,4090,712,2,24118,19376,0,21387,130,Education,9.0,Yes,15,0.08,1
1074,Male,25,Single,1,Graduate,Employed,Freelancer,Urban,127785,876,792,0,27362,25865,1,23611,116,Personal,12.54,Yes,24,0.64,1
1075,Male,69,Single,3,Postgraduate,Unemployed,Freelancer,Urban,68676,1046,497,1,35107,10378,1,6414,188,Education,5.04,No,19,0.25,0
1079,Male,30,Divorced,2,Postgraduate,Self-Employed,Freelancer,Suburban,93269,4110,775,0,41150,994,0,20445,187,Personal,7.08,No,27,0.16,1
1081,Male,39,Single,1,Graduate,Employed,Professional,Urban,68971,2986,590,0,34850,22287,0,18323,183,Education,6.83,Yes,8,0.42,0
1085,Female,69,Single,3,High School,Employed,Freelancer,Suburban,21439,2741,465,0,48709,2058,0,5915,163,Personal,5.24,No,6,0.31,1
1088,Female,36,Single,1,Graduate,Self-Employed,Business,Urban,90834,4495,716,0,39513,25747,0,25191,124,Personal,12.91,No,19,0.07,1
1089,Female,68,Married,1,Graduate,Self-Employed,Business,Urban,21625,2530,360,0,4206,4405,0,5675,232,Education,5.52,No,19,0.07,0
1091,Male,31,Married,2,Postgraduate,Self-Employed,Professional,Suburban,43954,3538,469,0,23406,3151,1,11160,238,Personal,14.74,Yes,20,0.27,0
1094,Female,47,Married,0,Postgraduate,Employed,Business,Suburban,81823,2299,767,0,22208,25226,0,22437,70,Education,7.25,No,18,0.78,1
1096,Female,41,Single,3,High School,Employed,Salaried,Suburban,88533,3125,752,0,4729,25765,0,23063,162,Personal,3.9,No,16,0.92,1
1098,Female,36,Single,2,High School,Self-Employed,Salaried,Urban,101657,4047,702,2,20383,11435,0,23950,137,Personal,11.32,No,16,0.69,1
1099,Male,68,Married,0,Graduate,Self-Employed,Salaried,Urban,31809,3911,571,0,22941,17897,0,10196,16,Personal,9.03,Yes,11,0.33,0
1101,Female,42,Married,2,High School,Unemployed,Salaried,Urban,77072,1145,800,1,14513,18197,0,22615,138,Personal,14.66,No,22,0.84,1
1103,Female,31,Single,1,High School,Employed,Professional,Suburban,21298,3936,544,1,34807,4576,0,7879,146,Personal,7.27,Yes,5,0.23,0
1105,Female,37,Single,0,Graduate,Employed,Professional,Suburban,52637,2656,516,2,38472,3712,1,5376,154,Education,11.9,Yes,28,0.94,0
1106,Female,46,Single,3,Graduate,Employed,Business,Urban,146577,3583,701,2,33549,12345,1,43544,214,Personal,14.35,Yes,6,0.82,1
1111,Female,47,Single,3,Postgraduate,Self-Employed,Freelancer,Suburban,63147,524,557,0,18386,11802,1,14384,234,Education,7.92,No,11,0.42,0
1112,Male,25,Single,3,Graduate,Unemployed,Business,Urban,95705,1268,814,1,21279,10433,0,28097,167,Personal,10.17,Yes,14,0.44,0
1114,Female,31,Single,3,High School,Self-Employed,Freelancer,Rural,114620,4668,790,2,31995,20656,1,28058,169,Personal,10.59,No,13,0.25,1
1115,Male,37,Divorced,0,Postgraduate,Self-Employed,Business,Urban,109604,4964,790,1,30923,22511,1,28896,166,Personal,11.75,No,10,0.94,1
1117,Male,44,Married,0,Graduate,Self-Employed,Professional,Suburban,132947,1901,778,0,30199,6246,1,22161,226,Education,9.03,Yes,21,0.28,1
1118,Female,67,Married,3,High School,Unemployed,Business,Suburban,60527,1871,455,2,48014,18135,0,20156,178,Personal,4.29,No,24,0.43,0
1121,Male,64,Married,3,High School,Self-Employed,Professional,Urban,45215,3138,320,1,30013,14553,0,12498,121,Education,6.56,No,22,0.96,0
1124,Female,65,Single,2,Postgraduate,Employed,Salaried,Urban,61232,1619,567,1,15365,15701,0,13480,154,Education,4.62,Yes,21,0.92,0
1137,Male,65,Married,2,Graduate,Employed,Freelancer,Urban,37319,4935,420,0,15090,22606,1,14501,32,Personal,7.06,Yes,9,0.37,0
1140,Female,32,Married,1,Graduate,Employed,Freelancer,Suburban,54452,4343,727,0,11841,10185,0,20000,24,Personal,9.26,No,20,0.42,1
1143,Female,35,Single,1,High School,Self-Employed,Salaried,Suburban,94938,2455,827,1,24349,27025,1,23281,14,Education,14.98,Yes,6,0.67,1
1144,Male,37,Married,3,High School,Employed,Professional,Rural,135281,2769,763,0,705,23340,1,36423,150,Personal,14.29,No,10,0.27,1
1145,Male,33,Single,3,High School,Employed,Freelancer,Suburban,129028,2519,787,0,15569,4526,0,38095,120,Personal,9.95,Yes,5,0.96,1
1146,Female,64,Married,0,Graduate,Unemployed,Freelancer,Urban,24781,618,504,0,14710,7424,0,9451,154,Personal,11.74,Yes,29,0.19,0
1148,Female,47,Divorced,1,High School,Self-Employed,Freelancer,Urban,145638,1043,849,1,5962,16004,1,22684,106,Personal,13.27,No,24,0.7,1
1149,Female,40,Single,1,Graduate,Self-Employed,Business,Suburban,54705,1481,313,2,39837,9023,1,8130,82,Personal,6.41,Yes,16,0.41,0
1150,Male,52,Married,0,Graduate,Self-Employed,Business,Urban,55022,1541,461,1,46847,9706,1,21265,114,Education,6.27,No,15,0.44,0
1151,Male,20,Single,3,High School,Employed,Freelancer,Urban,43548,3642,431,0,8084,677,0,11869,196,Education,10.89,No,7,0.67,0
1152,Male,64,Single,3,High School,Self-Employed,Business,Suburban,57348,2611,534,2,48547,8823,0,15826,76,Education,5.12,Yes,21,0.55,0
1157,Male,40,Married,3,High School,Unemployed,Professional,Urban,63330,3502,805,2,36868,4020,1,20000,85,Personal,10.24,No,8,0.19,1
1158,Male,37,Single,0,High School,Self-Employed,Freelancer,Urban,61643,1094,588,1,49789,7733,0,12594,95,Education,4.79,Yes,15,0.77,0
1161,Male,62,Married,3,Postgraduate,Employed,Salaried,Urban,50156,3513,579,0,36000,12816,0,13209,190,Education,4.91,No,23,0.64,0
1163,Female,25,Married,2,High School,Employed,Professional,Urban,73391,1751,812,0,1275,25489,0,21365,195,Education,14.06,No,27,0.76,1
1166,Female,65,Married,3,High School,Self-Employed,Salaried,Rural,25886,1708,534,2,18848,3678,1,5272,131,Personal,13.46,No,24,0.35,0
1167,Male,40,Married,2,Graduate,Employed,Freelancer,Rural,21061,1189,499,2,22383,1211,0,5375,156,Education,14.97,No,5,0.89,1
1168,Female,38,Divorced,2,Graduate,Employed,Freelancer,Urban,135955,4902,710,0,43997,11403,0,26166,215,Personal,5.99,No,14,0.54,1
1170,Female,27,Married,2,Graduate,Self-Employed,Freelancer,Suburban,127222,1666,803,2,20455,21606,0,33297,126,Personal,11.85,Yes,24,0.48,1
1174,Male,39,Single,0,Graduate,Employed,Professional,Urban,146493,4282,738,2,5213,17694,0,32530,232,Personal,8.77,Yes,17,0.42,1
1175,Male,31,Divorced,1,Postgraduate,Employed,Freelancer,Urban,54690,4220,703,2,444,28436,0,20000,172,Personal,11.67,Yes,22,0.05,1
1177,Male,55,Single,1,Postgraduate,Unemployed,Professional,Suburban,58776,4715,555,1,47575,4698,0,11281,63,Personal,8.4,Yes,26,0.74,0
1178,Male,37,Single,0,Graduate,Employed,Freelancer,Suburban,96967,2831,740,2,22319,21084,1,24213,145,Education,10.2,No,10,0.32,1
1186,Male,24,Single,1,Postgraduate,Employed,Salaried,Urban,52493,4844,598,1,5510,2459,1,6124,225,Education,4.8,No,28,0.07,0
1193,Male,43,Married,2,Graduate,Unemployed,Business,Urban,114536,4718,770,2,38439,5494,0,28860,142,Personal,7.71,No,24,0.77,1
1194,Male,29,Single,1,Graduate,Employed,Salaried,Urban,89788,4975,700,2,37332,29977,1,21551,67,Personal,8.44,Yes,11,0.74,1
1196,Male,31,Divorced,3,High School,Employed,Salaried,Suburban,62001,971,422,2,7738,6212,0,9258,35,Education,7.88,No,21,0.47,0
1205,Female,28,Single,1,High School,Employed,Professional,Urban,96659,4472,761,1,13809,12609,0,26974,87,Personal,3.51,No,25,0.87,1
1208,Male,43,Single,1,High School,Self-Employed,Professional,Rural,74179,980,826,0,16316,4893,1,21592,202,Education,14.32,No,25,0.27,1
1209,Female,27,Married,0,Postgraduate,Employed,Business,Urban,79931,2028,824,1,42093,10173,0,22160,12,Personal,12.12,Yes,26,0.92,1
1212,Female,40,Married,3,Graduate,Employed,Professional,Urban,114679,2313,700,0,20133,28595,0,26696,180,Personal,13.25,No,11,0.48,1
1214,Female,19,Married,3,Graduate,Employed,Salaried,Suburban,37733,4043,563,0,29804,28337,0,11651,222,Personal,8.23,Yes,7,0.19,0
1217,Male,43,Single,2,Graduate,Employed,Freelancer,Urban,72965,513,784,2,41150,21813,0,21854,27,Personal,14.42,Yes,13,0.39,1
1219,Female,26,Single,0,Graduate,Employed,Business,Urban,107528,3751,827,2,46641,18366,0,29065,168,Education,13.12,No,21,0.52,1
1222,Male,44,Married,0,Postgraduate,Employed,Salaried,Urban,69218,2536,809,1,32814,5391,0,20343,225,Personal,12.84,Yes,20,0.28,1
1227,Female,48,Married,2,High School,Employed,Business,Suburban,120833,2926,838,1,7397,20731,0,23518,88,Personal,11.66,No,11,0.07,1
1229,Male,57,Single,1,Graduate,Self-Employed,Freelancer,Urban,67455,3424,452,0,13678,10909,1,16384,211,Personal,13.44,Yes,20,0.16,0
1231,Female,67,Married,3,Graduate,Employed,Salaried,Urban,20033,2665,394,1,7047,29427,0,5189,161,Education,14.19,Yes,23,0.77,0
1234,Female,39,Married,3,High School,Employed,Business,Urban,74953,2962,718,1,49556,29211,0,20773,74,Personal,7.13,Yes,7,0.65,1
1236,Male,37,Divorced,0,Postgraduate,Self-Employed,Salaried,Suburban,146111,1286,774,0,43890,546,0,37133,174,Education,5.94,No,25,0.96,1
1237,Female,38,Married,2,Postgraduate,Self-Employed,Freelancer,Rural,28525,1910,525,0,35086,29431,0,5824,167,Education,7.22,Yes,22,0.52,0
1243,Female,41,Divorced,1,High School,Employed,Salaried,Urban,33758,4525,400,2,30000,20085,0,13230,100,Education,11.12,Yes,6,0.82,0
1247,Male,25,Married,2,High School,Self-Employed,Business,Urban,87754,3690,703,1,25102,27183,0,20524,13,Personal,8.84,No,24,0.45,1
1249,Female,54,Married,2,Graduate,Employed,Professional,Rural,51017,4190,545,2,36578,16940,1,15341,173,Personal,8.95,Yes,20,0.13,0
1250,Male,32,Single,1,Graduate,Self-Employed,Salaried,Urban,120676,3071,723,1,23003,4270,0,30953,166,Education,6.01,No,9,0.92,1
1258,Male,38,Single,1,Graduate,Self-Employed,Professional,Suburban,146614,2368,775,2,49998,18466,0,33451,231,Personal,10.19,No,22,0.67,0
1259,Male,49,Married,1,High School,Employed,Business,Suburban,124403,1755,774,2,12689,15525,0,28740,232,Personal,10.33,Yes,22,0.89,1
1262,Female,64,Single,0,High School,Self-Employed,Business,Suburban,32596,1076,491,2,35695,10103,0,9574,188,Personal,5.6,Yes,26,0.03,0
1264,Male,28,Divorced,0,High School,Unemployed,Business,Urban,129277,1897,708,0,5389,7846,1,31810,153,Personal,8.99,No,9,0.49,1
1268,Female,30,Single,3,High School,Self-Employed,Freelancer,Suburban,122551,1397,802,0,18270,19376,1,34018,93,Personal,11.83,No,29,0.31,1
1270,Male,33,Married,0,High School,Self-Employed,Business,Suburban,111094,2624,789,2,2581,9057,0,30818,116,Education,5.54,Yes,12,0.19,1
1276,Male,45,Married,0,Postgraduate,Employed,Business,Urban,61653,1089,823,0,31060,11867,0,20000,103,Education,3.85,No,26,0.92,1
1281,Male,45,Single,1,Postgraduate,Employed,Salaried,Urban,72278,2153,817,2,10227,24675,0,21650,236,Personal,12.36,No,10,0.57,1
1283,Female,40,Married,0,High School,Employed,Salaried,Urban,97045,1215,748,0,17896,19546,0,23818,165,Education,11.56,Yes,12,0.9,1
1286,Male,47,Married,1,High School,Employed,Business,Urban,78318,4113,701,2,37760,25848,1,22192,129,Personal,11.98,No,24,0.98,1
1289,Female,44,Married,3,Graduate,Self-Employed,Freelancer,Urban,88050,1300,731,1,34385,29141,0,24833,196,Personal,13.49,No,29,0.84,1
1290,Female,27,Married,0,Graduate,Employed,Professional,Urban,119904,3849,829,0,29978,11827,0,31084,126,Personal,13.04,Yes,16,0.55,1
1294,Male,39,Married,0,High School,Self-Employed,Professional,Suburban,103924,4262,739,2,46086,2282,0,30122,205,Personal,9.4,No,22,0.58,1
1299,Male,46,Married,3,Postgraduate,Employed,Business,Suburban,88419,3354,845,1,29650,15221,0,22113,57,Education,8.03,No,10,0.79,1
1302,Male,38,Married,0,High School,Employed,Business,Urban,34441,1427,532,0,36047,10070,0,5465,79,Education,3.9,Yes,25,0.06,0
1303,Male,32,Single,1,Postgraduate,Employed,Business,Suburban,131140,1771,734,1,34394,14833,0,28586,177,Personal,10.55,Yes,26,0.47,0
1308,Female,66,Married,0,Postgraduate,Employed,Salaried,Urban,65331,1727,540,2,18455,1813,0,23472,105,Education,14.56,Yes,13,0.33,0
1312,Male,51,Single,1,Postgraduate,Self-Employed,Business,Urban,45982,712,526,1,21811,11582,0,10760,226,Education,4.45,Yes,18,0.32,0
1314,Female,29,Married,1,Postgraduate,Employed,Salaried,Urban,57135,1652,529,0,3627,29578,0,6644,163,Education,7.86,Yes,20,0.09,0
1315,Male,26,Divorced,0,Graduate,Employed,Professional,Urban,101260,4631,789,1,1734,2746,0,24057,141,Personal,11.95,Yes,14,0.84,1
1316,Male,41,Married,1,Postgraduate,Employed,Salaried,Suburban,107900,1605,833,2,15884,20705,0,31285,232,Personal,12.95,Yes,23,0.72,1
1317,Male,28,Married,0,Graduate,Self-Employed,Freelancer,Urban,105297,4625,728,0,7026,22573,0,25151,142,Education,12.64,Yes,6,0.93,1
1318,Male,62,Single,2,Graduate,Employed,Salaried,Suburban,33394,722,474,0,21853,29019,0,5352,33,Education,10.57,No,29,0.76,1
1319,Male,30,Married,0,Graduate,Self-Employed,Salaried,Urban,78450,2333,835,0,38205,23435,0,22396,202,Personal,6.36,No,10,0.57,1
1320,Female,27,Married,1,High School,Employed,Salaried,Urban,71311,3860,779,1,27642,26754,0,21038,51,Education,9.1,No,26,0.49,1
1321,Female,28,Divorced,2,High School,Employed,Freelancer,Urban,70637,2440,836,1,45630,19878,0,21004,51,Education,5.73,Yes,13,0.66,1
1322,Female,32,Single,3,Graduate,Self-Employed,Professional,Suburban,89814,2572,790,1,21374,17438,0,24899,86,Personal,4.79,No,15,0.16,1
1323,Female,19,Married,3,Graduate,Employed,Business,Rural,64631,2824,551,2,17859,2460,0,22452,229,Education,12.48,Yes,28,0.73,0
1325,Female,59,Married,2,Graduate,Employed,Business,Urban,59516,1014,547,2,31327,4828,0,14054,127,Education,4.44,No,17,0.15,0
1327,Female,37,Single,1,High School,Employed,Freelancer,Urban,149465,4800,780,0,21922,11661,0,44102,126,Education,10.82,Yes,13,0.55,1
1329,Male,41,Married,3,High School,Employed,Professional,Suburban,134848,2080,799,0,26750,5330,1,39115,112,Education,5.03,Yes,17,0.0,1
1330,Male,28,Single,2,Graduate,Unemployed,Business,Urban,87531,4295,840,1,47462,29468,0,22173,24,Personal,7.71,Yes,24,0.44,1
